text_final,label
tolong supercell chat globalnya dakan mencari member globalnya susah cari member main game punah mohon kembalikan chat globalnyatrmksh,netral
update haringapain jirbikin lag,negatif
game bagus ngerancang strategi menang,positif
kesini jelek ajaupdate sebulan parah bagus jelek kualitasnya,negatif
game bagus peletonnya upgrade tolong sumbangannya emas eliksir,positif
lawannya kasih seimbang lawannya town hall,netral
bilang geme burik boong dosa swbaik geme sempurna ferfek geme nama geme kasih bintang percaya dwonlod aplikasi saran assalammualaikum wr wb,positif
loading pakai wifi game jalan lancar stag,positif
dimainkan gamesetelah update buglama cari lawanbelum hero max diturunkan konyolgak selesai upgradeparah,negatif
game bagus pembangunan banget berhari tolong persingkat berhari,positif
update masuk eror tulisan coba ulang hapus dowload biaa developer bisnis bug,negatif
perbaikan kadang main jaringan terputus lihat jaringan bagus,negatif
game bagus cocok belajar strategi membangun desaserta berperang dijamin nyesel download game,positif
game perbaiki lagiapa jaringan nyaudh serang gara jrgn msuk dlm game ngelek nonton tiktok anu main pubg lancar ajatrmksh,negatif
tolong super cell kembalikan chat global susah mencari anggota bermain coc town hall membeli skin grand warden quen menyumbang uang tolong kembalikan chat global pleace,netral
game strategi sukai tolong diperbaiki login masuk kegame baikbaik buka login mohon pencerahannya terima kasih,positif
parah serang selesai attack langsung koneksi terputus kecewa bug benerinbikin emosi ajsolusii donk,negatif
supercell kena bug gerobak rampasanku full ambil bug oke,negatif
anjing update,negatif
coc seru hitam saran coc mode offline peningkatan peleton mantra dikurangi pemain bosan menunggu,positif
town hall kebawah ngeluh upgrade main pensi game kasih mudah cepat bosan,negatif
maaf berhenti main coc daftar supercell main akun,negatif
asyiiik tolong kurangin update pasukan dllnya berhari banget nunggunya harga temboknya mahal buanget terima kasih,positif
jaringannya mainnya coba koneksi main game bagus game seru pantesan game seru,positif
tolong donk penggemar coc perbaharui game coc jafi main gumana ih padah sukabsekalibpermainan cochp jaman ram,negatif
klen server respon warketika war bintang zonkpas masuk base war bentuk wartolongperbaiki server clos war sisa,negatif
main thun pensiun sekrang selesai mengunduh tu login akun tunggu kode vrifikasi jam kiram akun hapus data base,netral
mengerti sistem game serang town hall lawan trophy banget anjing giliran lawan serang town hall ngurangnya banget anjing okelah ngurangnya men trophy hilang serang town hall dikasih lawan town hall giliran town hall trophy adil kntl bgst kirim,negatif
perisai jam bangunan jam bangunan jam selesai perisai hilang kota serang,netral
main viral game gdk perubahan sinyal bagus ancuran,negatif
game bagus mainin luang bilang wkwk lumayan seru tunggu meningkatkan bangunan bngunan,positif
bintang bug farming mohon perbaiki,negatif
game jaman bersaing jelek koneksi inet cs balas pakai bot jelek event update pantes sepi,negatif
game bagus menyukai tolong hilangkan pleyer cheater merubah rubah desa seenak tolong orang ngehack akun kehilangan clan level akun town hall gara gara hack,positif
tolong hilangkan ngebug nyamau main ngebug melulu,negatif
habis dowload ganti akun mogok loadingsekalinya masuk koneksi gagal,negatif
diloading screen tolong diperbaiki,negatif
anjing coc susah masuk jaringn lumayan,negatif
admin tolong habis update app tibatiba tutup q xiaomi redmi note terima kasih,negatif
